Date,Y0.5,Y1.0,Y1.5,Y2.0,Y2.5,Y3.0,Y3.5,Y4.0,Y4.5,Y5.0,Y5.5,Y6.0,Y6.5,Y7.0,Y7.5,Y8.0,Y8.5,Y9.0,Y9.5,Y10.0,Y10.5,Y11.0,Y11.5,Y12.0,Y12.5,Y13.0,Y13.5,Y14.0,Y14.5,Y15.0,Y15.5,Y16.0,Y16.5,Y17.0,Y17.5,Y18.0,Y18.5,Y19.0,Y19.5,Y20.0,Y20.5,Y21.0,Y21.5,Y22.0,Y22.5,Y23.0,Y23.5,Y24.0,Y24.5,Y25.0,Y25.5,Y26.0,Y26.5,Y27.0,Y27.5,Y28.0,Y28.5,Y29.0,Y29.5,Y30.0
2017/7/1,1.13,1.22,1.291729315,1.371337446,1.45629392,1.543771467,1.631246888,1.717527538,1.801740539,1.882989857,1.960291318,2.032380085,2.097890934,2.155420052,2.204003333,2.24457429,2.27857332,2.307473783,2.332780713,2.356029879,2.378524706,2.400534779,2.422069072,2.443137773,2.463752092,2.483924119,2.503666723,2.522993468,2.54191856,2.560456805,2.578623576,2.596434799,2.613906938,2.631056988,2.647902479,2.664461474,2.68075258,2.696794957,2.71260833,2.728213006,2.74362989,2.758880506,2.773987019,2.788972258,2.803859748,2.818673733,2.833439211,2.848181971,2.862928629,2.87770667,2.892544496,2.907471477,2.922518002,2.937715549,2.953096743,2.968695439,2.9845468,3.000687393,3.017155286,3.03399017
2017/8/1,1.13,1.23,1.280471834,1.341027444,1.409386679,1.482955624,1.559342856,1.637032583,1.714712393,1.791043303,1.864618864,1.9338512,1.997073232,2.052573623,2.09913666,2.137687814,2.169720841,2.196762077,2.220368864,2.24212844,2.263385047,2.284409377,2.305201542,2.325762721,2.346094958,2.366201001,2.38608419,2.405748361,2.425197779,2.444437078,2.463471225,2.482305483,2.500945384,2.519396716,2.537665503,2.555757996,2.573680671,2.591440216,2.609043538,2.626497759,2.643810215,2.660988467,2.678040298,2.694973726,2.711797005,2.728518637,2.74514738,2.761692258,2.778162574,2.794567919,2.810918189,2.827223597,2.843494688,2.859742357,2.875977867,2.892212866,2.908459411,2.924729985,2.941037527,2.957395452
2017/9/1,1.17,1.28,1.325939945,1.380995212,1.443842476,1.512813417,1.586149496,1.661739373,1.737354344,1.810721652,1.879773331,1.943424662,2.000821494,2.051086257,2.093674988,2.129462603,2.15970349,2.185678011,2.208691709,2.23007482,2.250954395,2.271560101,2.291895508,2.311965171,2.331774451,2.351329388,2.370636603,2.389703219,2.408536807,2.427145341,2.445537168,2.463720982,2.481705806,2.499500985,2.517116173,2.534561334,2.551846738,2.568982966,2.585980915,2.602851799,2.619607166,2.6362589,2.652819236,2.669300774,2.685716492,2.702079762,2.71840437,2.73470453,2.750994911,2.767290656,2.783607407,2.799961331,2.816369151,2.832848175,2.84941633,2.8660922,2.882895062,2.899844935,2.916962623,2.934269767
2017/10/1,1.25,1.4,1.481843612,1.551574041,1.616488197,1.683448969,1.757569319,1.836574863,1.916275949,1.992397945,2.061343408,2.122563015,2.176279759,2.222718291,2.26224066,2.295755469,2.324326844,2.349041389,2.371007835,2.391356843,2.411048722,2.430287009,2.449084744,2.467456143,2.485416442,2.50298177,2.520169071,2.536996031,2.553481039,2.569643153,2.585502079,2.601078157,2.616392358,2.631466281,2.646322161,2.660982878,2.675471965,2.68981363,2.704032772,2.718155003,2.732206674,2.746214905,2.760207614,2.774213556,2.78826236,2.802384571,2.816611704,2.830976293,2.845511952,2.860253439,2.875236733,2.890499113,2.90607925,2.922017305,2.938355048,2.955135977,2.972405464,2.990210913,3.008601936,3.027630555
2017/11/1,1.39,1.56,1.638114582,1.701666507,1.757848053,1.813281878,1.873101441,1.936121596,1.999531585,2.060469003,2.116451811,2.166721784,2.210948927,2.248793697,2.280145387,2.305844676,2.326989508,2.344699184,2.360113771,2.374393747,2.388519693,2.402682333,2.416873627,2.431086539,2.445314827,2.459552875,2.473795566,2.488038174,2.502276289,2.516505748,2.530722577,2.544922953,2.559103162,2.573259569,2.587388589,2.601486667,2.615550255,2.629575797,2.643559708,2.657498366,2.671388092,2.685225144,2.699005702,2.712725858,2.726381608,2.739968838,2.753483318,2.766920694,2.780276475,2.793546026,2.806724561,2.819807135,2.83278863,2.845663752,2.858427022,2.871072766,2.883595106,2.895987953,2.908244999,2.920359709
2017/12/1,1.5,1.7,1.775111194,1.841896466,1.903887971,1.963823934,2.023737286,2.082656279,2.138826722,2.190458842,2.236063037,2.275483832,2.308904786,2.336512369,2.358623591,2.376071492,2.389833267,2.400903861,2.410295443,2.419037138,2.427995303,2.437326647,2.44700952,2.457023256,2.467347926,2.477964139,2.48885289,2.499995424,2.511373139,2.52296749,2.534759917,2.546731775,2.558864276,2.571138437,2.583535026,2.596034522,2.608617067,2.621262428,2.633949954,2.646658542,2.659366597,2.672051995,2.684692052,2.697263482,2.709742373,2.722104143,2.734323516,2.74637449,2.758230305,2.769863418,2.781245477,2.792347297,2.803138842,2.813589206,2.823666601,2.833338348,2.842570874,2.851329716,2.859579526,2.867284089
2018/1/1,1.62,1.8,1.939213116,2.032936718,2.099020873,2.154758619,2.214060845,2.276316704,2.337194872,2.392278092,2.438047578,2.474923506,2.50434587,2.527783986,2.546604658,2.561669968,2.573725353,2.583530851,2.591860787,2.599503615,2.607125515,2.614855048,2.62268588,2.630612819,2.638631591,2.646738659,2.654931101,2.663206493,2.671562833,2.67999847,2.688512055,2.697102491,2.705768903,2.714510606,2.723327084,2.732217965,2.741183008,2.75022209,2.75933519,2.768522385,2.777783836,2.787119786,2.79653055,2.806016514,2.815578128,2.825215902,2.834930407,2.844722267,2.854592164,2.864540828,2.874569044,2.884677645,2.894867513,2.905139581,2.91549483,2.925934288,2.936459033,2.947070192,2.957768941,2.968556507
2018/2/1,1.79,1.96,2.075938514,2.183153896,2.280694205,2.366725511,2.440242214,2.503753311,2.560706664,2.614620261,2.668042119,2.719352352,2.76582593,2.80467031,2.833802712,2.854226965,2.867763364,2.876273397,2.881656279,2.885846333,2.89047291,2.895827701,2.901865891,2.908544522,2.915821988,2.923657648,2.9320115,2.940843928,2.950115482,2.95978669,2.9698179,2.980169136,2.990799968,3.001669397,3.012735744,3.023956552,3.035288482,3.046687229,3.05810743,3.069502584,3.080824969,3.092025571,3.103054012,3.113858486,3.1243857,3.134580824,3.14438745,3.153747557,3.162601492,3.170887965,3.178544052,3.185505227,3.191705402,3.197076999,3.201551039,3.205057261,3.207524275,3.208879738,3.209050569,3.207963202
2018/3/1,1.92,2.06,2.185853441,2.283127589,2.360426841,2.425745615,2.485845244,2.542073857,2.59441129,2.642837099,2.687222779,2.727005637,2.761500898,2.790008286,2.812115883,2.828625149,2.840663397,2.84938167,2.855953856,2.861576047,2.867258372,2.873191198,2.879358802,2.885746864,2.892342159,2.899132316,2.906105633,2.913250927,2.920557414,2.92801461,2.935612249,2.943340222,2.951188511,2.959147148,2.967206168,2.975355573,2.9835853,2.991885188,3.000244953,3.008654164,3.017102216,3.02557831,3.034071432,3.042570331,3.051063502,3.059539165,3.067985247,3.076389366,3.084738811,3.093020525,3.101221091,3.109326712,3.117323197,3.125195947,3.132929935,3.1405097,3.147919326,3.155142432,3.162162164,3.168961179
2018/4/1,1.98,2.15,2.28200195,2.383483683,2.462456807,2.52612289,2.580821263,2.629006329,2.672173256,2.71184932,2.749142561,2.783360954,2.813338547,2.837884999,2.856174691,2.868933842,2.877299964,2.882433824,2.885518406,2.887758129,2.890169204,2.892941994,2.896059339,2.899505514,2.903265909,2.907326789,2.911675097,2.916298311,2.921184314,2.926321298,2.931697681,2.93730204,2.943123052,2.949149442,2.955369943,2.961773258,2.968348023,2.975082777,2.981965934,2.988985756,2.99613033,3.00338754,3.010745049,3.018190273,3.025710361,3.033292175,3.040922266,3.048586859,3.056271825,3.063962666,3.071644496,3.079302016,3.086919499,3.094480767,3.101969175,3.109367593,3.116658382,3.123823383,3.130843901,3.137700681
2018/5/1,2.07,2.27,2.405842555,2.513927647,2.599547132,2.66691293,2.720172099,2.762976071,2.798906365,2.831619822,2.863947285,2.895135144,2.923497845,2.94731522,2.965297642,2.978011072,2.986508908,2.991866664,2.995181211,2.997570169,2.999977918,3.002585033,3.005380089,3.008353036,3.011494912,3.014797618,3.018253752,3.021856467,3.025599367,3.029476415,3.033481869,3.037610216,3.041856127,3.04621442,3.05068002,3.055247932,3.059913219,3.064670975,3.069516311,3.074444332,3.079450128,3.084528757,3.089675232,3.094884511,3.100151484,3.105470965,3.110837679,3.116246258,3.121691225,3.127166992,3.132667847,3.138187947,3.143721308,3.149261802,3.154803141,3.160338876,3.165862385,3.171366866,3.176845328,3.182290587
2018/6/1,2.11,2.33,2.444678091,2.533458122,2.60223529,2.655706389,2.698286936,2.732969292,2.762426537,2.789386865,2.815944301,2.841452411,2.864552959,2.883861738,2.8983495,2.908507823,2.915226913,2.919414492,2.921995392,2.923911267,2.925956469,2.928278226,2.93086107,2.933690587,2.93675317,2.940035835,2.943526064,2.947211691,2.9510808,2.955121651,2.959322613,2.963672108,2.968158566,2.972770381,2.977495883,2.982323298,2.987240725,2.992236109,2.99729722,3.002411627,3.007566681,3.012749492,3.017946917,3.023145535,3.028331637,3.033491205,3.038609899,3.043673041,3.048665601,3.053572187,3.058377024,3.063063951,3.067616404,3.072017408,3.076249568,3.080295059,3.084135623,3.087752561,3.091126732,3.094238551
2018/7/1,2.17,2.39,2.525064329,2.613765203,2.669621216,2.705061906,2.731020977,2.751634414,2.769359571,2.786706565,2.805560783,2.825119669,2.843882766,2.860322804,2.873246592,2.882902695,2.889913494,2.894913066,2.89854723,2.90147357,2.904249107,2.906987793,2.909692255,2.912365974,2.915013154,2.917638608,2.920247679,2.922846173,2.925440315,2.928036705,2.930642288,2.933264336,2.935910424,2.938588417,2.941306464,2.944072986,2.946896673,2.94978648,2.952751631,2.955801613,2.958946182,2.962195366,2.965559471,2.969049084,2.972675087,2.976448656,2.980381281,2.98448477,2.988771266,2.993253258,2.997943599,3.002855523,3.00800266,3.013399064,3.01905923,3.024998121,3.031231194,3.037774433,3.044644381,3.051858172
2018/8/1,2.24,2.45,2.568381378,2.643339764,2.687943299,2.714195095,2.732659751,2.747372845,2.760758468,2.775291858,2.792778294,2.812155889,2.831615819,2.849316273,2.863790087,2.875198086,2.884121255,2.891151244,2.896890601,2.901952962,2.9068579,2.911709848,2.916508753,2.921255211,2.925950347,2.93059573,2.935193309,2.939745355,2.944254426,2.94872333,2.953155105,2.957552994,2.961920431,2.966261031,2.970578577,2.974877011,2.979160436,2.983433103,2.987699412,2.991963911,2.996231294,3.0005064,3.004794215,3.009099871,3.013428651,3.01778599,3.022177477,3.026608857,3.031086039,3.035615098,3.040202279,3.044854002,3.04957687,3.054377673,3.059263398,3.06424123,3.069318568,3.074503026,3.079802448,3.085224915
2018/9/1,2.34,2.56,2.692258514,2.773818679,2.819902539,2.844595279,2.860330375,2.871984671,2.882573132,2.895175375,2.912011986,2.931627433,2.951605836,2.96948515,2.983304992,2.99329249,3.000240313,3.004956117,3.008262589,3.010997515,3.013867788,3.01700384,3.020390868,3.024014754,3.027861886,3.031919014,3.036173143,3.040611438,3.045221156,3.049989581,3.054903973,3.059951527,3.06511933,3.07039433,3.075763304,3.081212834,3.086729273,3.09229873,3.097907045,3.103539762,3.109182119,3.114819018,3.120435014,3.126014293,3.131540655,3.136997499,3.142367805,3.147634119,3.152778539,3.157782702,3.16262777,3.16729442,3.171762835,3.176012692,3.180023159,3.183772891,3.187240024,3.190402179,3.193236462,3.195719475
2018/10/1,2.46,2.65,2.779739805,2.863861093,2.915065261,2.945015978,2.964267664,2.97813625,2.990675784,3.006025856,3.027196667,3.052352429,3.078388343,3.102134268,3.121047451,3.135351641,3.145987097,3.153913536,3.16011018,3.165575853,3.171154137,3.17699887,3.183089843,3.189407559,3.195933007,3.202647498,3.209532529,3.216569668,3.223740464,3.231026369,3.238408668,3.245868424,3.253386425,3.260943132,3.268518645,3.276092654,3.283644408,3.291152679,3.298595726,3.305951271,3.313196463,3.320307853,3.32726137,3.334032294,3.340595235,3.346924114,3.352992144,3.358771818,3.364234893,3.369352384,3.37409456,3.378430946,3.382330323,3.38576074,3.388689533,3.391083345,3.392908159,3.394129331,3.394711643,3.394619354
